#t	#1	#2	#3	#4	#5	#6	#7
843.0	0.4343654811422628	0.0	-0.23346659394215774	0.01688224301649113	0.00019565454503499928	-0.0409227628833403	0.006442354615172761
844.0	0.43442395595926686	0.0	-0.23363865499328149	0.016894964258605035	0.00019597009064320294	-0.0409503603267838	0.006447593921129079
845.0	0.43448235549161324	0.0	-0.2338105193598977	0.01690767114156391	0.00019628529756253793	-0.04097792542214633	0.0064528273379368005
846.0	0.4345406802403182	0.0	-0.23398218726290843	0.016920363680432433	0.00019660016609356938	-0.04100545821015834	0.0064580548712309975
847.0	0.43459893071462763	0.0	-0.2341536589237887	0.01693304189038151	0.00019691469653301585	-0.04103295873161513	0.006463276526696296
848.0	0.434657107430971	0.0	-0.23432493456456494	0.01694570578668532	0.00019722888917390747	-0.041060427027372184	0.00646849231006621
849.0	0.43471521091192894	0.0	-0.23449601440779239	0.016958355384718245	0.000197542744305746	-0.041087863138340314	0.006473702227122381
850.0	0.4347732416852152	0.0	-0.2346668986765319	0.01697099069995166	0.00019785626221466757	-0.041115267105480774	0.00647890628369376
851.0	0.43483120028267547	0.0	-0.2348375875943256	0.0169836117479506	0.00019816944318360618	-0.04114263896980025	0.006484104485655696
852.0	0.43488908723930364	0.0	-0.23500808138517218	0.016996218544370313	0.0001984822874924594	-0.04116997877234583	0.006489296838928971
853.0	0.4349469030922773	0.0	-0.23517838027350146	0.017008811104952726	0.0001987947954182549	-0.041197286554199894	0.0064944833494787624
854.0	0.4350046483800137	0.0	-0.23534848448414822	0.0170213894455228	0.0001991069672353172	-0.04122456235647495	0.006499664023313544
855.0	0.4350623236412475	0.0	-0.23551839424232573	0.017033953581984815	0.00019941880321543528	-0.041251806220308496	0.0065048388664839295
856.0	0.43511992941413113	0.0	-0.23568810977359875	0.01704650353031857	0.00019973030362802996	-0.04127901818685776	0.006510007885081459
857.0	0.43517746623535936	0.0	-0.23585763130385615	0.01705903930657553	0.00020004146874032122	-0.04130619829729456	0.006515171085237337
858.0	0.4352349346393183	0.0	-0.23602695905928311	0.017071560926874896	0.0002003522988174945	-0.04133334659280003	0.006520328473121122
859.0	0.4352923351572607	0.0	-0.2361960932663332	0.017084068407399646	0.0002006627941228665	-0.04136046311455946	0.006525480054939364
860.0	0.43534966831650773	0.0	-0.23636503415170024	0.017096561764392535	0.00020097295491804985	-0.041387547903757094	0.006530625836934219
861.0	0.4354069346396785	0.0	-0.23653378194228977	0.017109041014152036	0.00020128278146311587	-0.041414601001570996	0.006535765825382006
862.0	0.43546413464394745	0.0	-0.23670233686519082	0.017121506173028295	0.00020159227401675607	-0.04144162244916791	0.006540900026591742
863.0	0.435521268840331	0.0	-0.23687069914764725	0.017133957257419046	0.00020190143283644143	-0.0414686122876982	0.006546028446903651
864.0	0.4355783377330034	0.0	-0.23703886901702942	0.01714639428376554	0.0002022102581785798	-0.041495570558290854	0.006551151092687634
865.0	0.4356353418186429	0.0	-0.2372068467008057	0.017158817268548444	0.0002025187502986702	-0.041522497302048496	0.006556267970341725
866.0	0.4356922815858077	0.0	-0.23737463242651416	0.017171226228283765	0.000202826909451455	-0.04154939256004254	0.006561379086290521
867.0	0.43574915751434373	0.0	-0.23754222642173464	0.017183621179518806	0.00020313473589106922	-0.04157625637330836	0.00656648444698361
868.0	0.43580597007482247	0.0	-0.2377096289140606	0.017196002138828114	0.00020344222987118613	-0.0416030887828406	0.006571584058893964
869.0	0.435862719728011	0.0	-0.23787684013107163	0.017208369122809472	0.00020374939164516024	-0.04162988982958851	0.006576677928516339
870.0	0.43591940692437314	0.0	-0.238043860300306	0.017220722148079924	0.0002040562214661664	-0.041656659554451456	0.006581766062365663
871.0	0.4359760321036025	0.0	-0.23821068964923386	0.017233061231271857	0.00020436271958733563	-0.04168339799827448	0.006586848466975425
872.0	0.43603259569418695	0.0	-0.2383773284052305	0.017245386389029095	0.00020466888626188644	-0.04171010520184398	0.006591925148896049
